year,month,week,sum
2015,1,00,3351
2015,1,01,8198
2015,1,02,7805
2015,1,03,7223
2015,1,04,9631
2015,2,05,9481
2015,2,06,9717
2015,2,07,6360
2015,2,08,4403
2015,3,09,8753
2015,3,10,8797
2015,3,11,9256
2015,3,12,7815
2015,3,13,2896
2015,4,13,3750
2015,4,14,6978
2015,4,15,8007
2015,4,16,8972
2015,4,17,5822
2015,5,17,2324
2015,5,18,8325
2015,5,19,6716
2015,5,20,5729
2015,5,21,8194
2015,5,22,1151
2015,6,22,7423
2015,6,23,9368
2015,6,24,6843
2015,6,25,3307
2015,6,26,2905
2015,7,26,4852
2015,7,27,9390
2015,7,28,9445
2015,7,29,9573
2015,7,30,7366
2015,8,30,1641
2015,8,31,8995
2015,8,32,9307
2015,8,33,9398
2015,8,34,10075
2015,8,35,2620
2015,9,35,5366
2015,9,36,7212
2015,9,37,9336
2015,9,38,9665
2015,9,39,5500
2015,10,39,3803
2015,10,40,8815
2015,10,41,7454
2015,10,42,8494
2015,10,43,7583
2015,11,44,7975
2015,11,45,7872
2015,11,46,9206
2015,11,47,8886
2015,11,48,2902
2015,12,48,5140
2015,12,49,8830
2015,12,50,9085
2015,12,51,9883
2015,12,52,6001
2016,1,00,2362
2016,1,01,10241
2016,1,02,9173
2016,1,03,9188
2016,1,04,9647
2016,1,05,1328
2016,2,05,8447
2016,2,06,9653
2016,2,07,10470
2016,2,08,10125
2016,2,09,2337
2016,3,09,6831
2016,3,10,9127
2016,3,11,9196
2016,3,12,10184
2016,3,13,6868
2016,4,13,2669
2016,4,14,9217
2016,4,15,8567
2016,4,16,6797
2016,4,17,6996
2016,5,18,7194
2016,5,19,10100
2016,5,20,10076
2016,5,21,10182
2016,5,22,4703
2016,6,22,5684
2016,6,23,9111
2016,6,24,11044
2016,6,25,9272
2016,6,26,4982
2016,7,26,3158
2016,7,27,10445
2016,7,28,8967
2016,7,29,9754
2016,7,30,7008
2016,7,31,786
2016,8,31,7204
2016,8,32,8528
2016,8,33,9484
2016,8,34,9758
2016,8,35,5481
2016,9,35,3910
2016,9,36,9812
2016,9,37,7150
